"Carimbo de data/hora","Qual o tipo de combustível que você mais utiliza?","Qual é a média do seu gasto diário com combustível? Responda em R$.","De qual empresa e/ou posto de combustível você mais consome?","Quais os critérios você utiliza para escolher a marca e/ou posto de combustível?","O que poderia ser melhorado no atendimento nos postos de combustível?","Além de combustíveis, na sua opinião, o que não pode faltar em um posto de combustível?","Você utiliza aplicativo de rede de postos de combustível? Se sim, Qual?","Quais vantagens desse aplicativo lhe agradam? Em caso de ter respondido não na pergunta anterior, responda não novamente.","Seu veículo possui algum dispositivo de pagamento automático para pedágio e abastecimento?","Qual forma de pagamento você mais utiliza para pagar o abastecimento?
","O posto no qual você frequenta oferece algum ""brinde"" para você consumir combustível?","Você atualmente está dirigindo profissionalmente como forma de obter renda?","Qual cidade você atua mais dirigindo profissionalmente?","Quais aplicativos você mais utiliza para trabalhar?","Além de dirigir profissionalmente, você possui alguma outra atividade profissional? Se sim, qual?","Qual é o seu sexo?","Qual é a sua idade?","Qual é a sua profissão?"," Qual é a sua cor ou raça?","Qual é o seu grau de escolaridade?","Em qual cidade você reside?","Aproximadamente, qual é a sua renda mensal?  Responda em R$.","Você é pessoa com deficiência? Se sim, qual(is)?","Caso você tenha respondido não na 1ª pergunta, qual o motivo de você não consumir combustível?","Há algo a mais que você gostaria de dizer?"
"2023/05/11 6:30:57 PM GMT-3","Gasolina","80 reais","Ipiranga","Preço;Atendimento;Qualidade do combustível","Relação frentista/cliente","Estrutura para higiene","Não","Não utilizo","Sim","Débito","Sim, lavagem por fora","Sim, como entregador por aplicativo","Niterói","Uber;99","Sim, sou professor","Masculino","38","Professor","Branca","Pós-Graduação Completo","Niterói","R$5.000","","",""
"2023/05/11 7:52:28 PM GMT-3","Não consumo","Não consumo","Não consumo no momento","Preço","Segurança, e atendimento","Qualidade aliada ao bom preço","Não","Não uso esse tipo de aplicativo","Não conheço esse sistema","Crédito","Prefiro não responder","Não","","","","Masculino","57 anos","Vigilante","Branca","Ensino Superior Completo","Rio de Janeiro","R$1.800,00","","No momento ainda estou sem veículo",""
"2023/05/11 8:17:09 PM GMT-3","Etanol","600","Ipiranga","Preço;Programa de Fidelidade;Qualidade do combustível","Ter mais promoções no posto de gasolina","Bom preço ","O do Ipiranga","Km de vantagens","Não vejo necessidade","Crédito","Não","Não","","","","Feminino","32","Contadora","Parda","Pós-Graduação Completo","Rio de Janeiro","","","",""
"2023/05/11 8:24:54 PM GMT-3","Etanol","450,00","Mais em conta no dia","Preço","Atendimento ","Loja conveniência ","Nao","Nao","Não vejo necessidade","Débito","Não","Não","","","","Masculino","33","Corretor de imóveis ","Branca","Ensino Superior Completo","Goiânia ","10.000","","",""
"2023/05/11 8:51:31 PM GMT-3","Gasolina","50,00","IPIRANGA SEMPRE","Programa de Fidelidade;Promoções e programas de descontos via aplicativo;Qualidade do combustível;Conhecimento da marca e/ou posto","além do preço por aplicativo, promoção relâmpago na hora do abastecimento com giro da SORTE com  ROLETA NUMÉRICA, SE ACERTAR O NÚMERO ESCILHIDO, DAR UM DESCONTO A MAIS NO ABASTECIMENTO, E COM CERTEZA TRARIA MAIS CLUENTES","sem dúvida COMBUSTÍVEL ","IPYRANGA","facilidade, rapidez  etc","Não, custo beneficio baixo","Crédito","Não","utilizo para trabalho, sou PNE","GOIANIA ","Não trabalho por aplicativo","particular ","Masculino","58","FUNC PUBLICO","Negra","Ensino Médio Completo","GOIANIA ","3.200,00","","",""
"2023/05/11 9:02:16 PM GMT-3","Etanol","4,00","Ypiranga","Preço","Estou satisfeita ","Calibrado e borracharia ","Não ","Não sei utilizar","Não, acho caro","Crédito","Não","Não","","","","Feminino","59","Func pública ","Branca","Pós-Graduação Completo","Goiânia ","5000","","",""
"2023/05/11 9:06:46 PM GMT-3","Etanol","R$ 4,00","Posto carreteiro Goiânia Goiás ","Preço","Calibrador/ borracharia","Calibrador e borracharia, serviço de troca de oleo","Nao, tentei uma vez mas na hora do abastecimento nunca funcionou ","Nao","Não conheço esse sistema","Crédito","Não","Não","","","","Masculino","64","Contador","Parda","Ensino Superior Completo","Goiânia- Goiás ","R$ 3.500,00","","",""
"2023/05/11 9:33:10 PM GMT-3","Gasolina","400,00","A que tem o valor mais barato na semana.","Preço;Promoções e programas de descontos via aplicativo","pessoas mais atenciosas e cordiais.","Ponto de calibragem de ar grátis.","não","não","Não vejo necessidade","Crédito","Não","Não","","","","Feminino","36","Professora","Branca","Ensino Superior Completo","Goiânia","3000,00","","",""
"2023/05/11 10:04:25 PM GMT-3","Gasolina","R$200","O mas barato rsrsrs ","Preço","Valor ","Gasolina ","Não ","Não ","Não conheço esse sistema","Débito","Não","Não","","","","Feminino","31","Assistente administrativo ","Branca","Ensino Médio Completo","Aparecida de Goiânia ","R$ 1600","","",""
"2023/05/11 10:10:30 PM GMT-3","Etanol","60,00","Rede Infinit","Proximidade;Preço;Atendimento;Promoções e programas de descontos via aplicativo;Qualidade do combustível","Atendimento mais agil e dinamico;
 Maquininhas de cartão mais modernas, com opção de pagamento por aproximação NFC, e outros meios de pagamento com aproximação do celular, e que tambem ja emita o cupom fiscal sem precisar se deslocar a um computador ou caixa.","Combustivel rsrs, o que não pode faltar são pessoas suficientes para o atendimento frentista, pessoal treinado para atender de forma eficaz.","Abastece Korujão, Abastece-ai","Descontos no valor e pontuação para troca posterior em produtos e serviços.","Sim","Débito","Não","Não","","","","Masculino","30","Empresario","Branca","Ensino Superior Completo","Senador Canedo","6.000,00","","",""
"2023/05/11 11:22:36 PM GMT-3","Gasolina","R$ 18,00","Shell e Petrobrás","Preço;Conhecimento da marca e/ou posto","Agilidade; promoções e recompensa por fidelização. ","Segurança nos procedimentos; banheiro em boas condições de higiene e uso. ","Não ","Não ","Não conheço esse sistema","Crédito","Não","Não","","","","Feminino","36","Professora","Parda","Ensino Superior Completo","Goiânia","1000,00","","———",""
"2023/05/12 8:29:46 AM GMT-3","Gasolina","80,00","SHELL","Proximidade;Preço;Conhecimento da marca e/ou posto","Agilidade de atendimento","Combustível","Não","Não","Sim","Crédito","Não","Sim, motorista de aplicativo","Niterói","Uber","Não","Feminino","41","motorista de aplicativo","Branca","Ensino Superior Completo","Niterói","3.000,00","","",""
"2023/05/12 8:37:54 AM GMT-3","Gasolina","15 liyros","O mais próximo ","Preço","Agilidade dos atendente","Combustível (logico) e calibrador de pneu","Não ","Não uso aplicativo","Sim","Crédito","Não","Não","","","","Masculino","67","Aposentado","Parda","Ensino Superior Completo","Niterói ","Nada a declarar","","",""
"2023/05/12 10:53:43 AM GMT-3","Etanol","5,00","Ipiranga ","Preço","O preço ","Qualidade do produto","Não ","Não sei utilizar o aplicativo ","Não conheço esse sistema","Crédito","Não","Não","","","","Feminino","60","Aposrntada","Branca","Pós-Graduação Completo","Goiânia ","6 mil","","",""
"2023/05/12 11:56:29 AM GMT-3","Gasolina","R$ 100,00","BR","Qualidade do combustível","Self-service ","Opções de combustível ","Não ","Não ","Não, acho caro","Débito","Não","Sim, motorista de aplicativo","Niterói ","Uber;99","Não ","Masculino","52","Não ","Parda","Ensino Superior Completo","Niteroi","R$ 6.000,00","","",""
"2023/05/12 1:43:44 PM GMT-3","Gasolina","10 reais ","Ipiranga","Conhecimento da marca e/ou posto","Explicar para o consumidor qual modalidade de abastecimento está sendo mais rentável (galosina, etanol ou disel)","Conveniência ","Não.","Não.","Não vejo necessidade","Débito","Sim, lavagem por fora","Não","","","","Feminino","24","Psicóloga ","Branca","Pós-Graduação Completo","Marilia - Sp","5100","","",""
"2023/05/12 1:48:56 PM GMT-3","Gasolina","20","Ipiranga","Preço","A limpeza e a organização muitas vezes deixam a desjar","Segurança, bom atendimento ","Sim, utilizo....rede sim e ipiranga","Caskback","Não vejo necessidade","Crédito","Não","Não","","","","Masculino","44","Empresarii","Branca","Pós-Graduação Completo","Guaporé rs","15 000","","",""
"2023/05/12 1:50:32 PM GMT-3","Etanol","4,25 reais","Ipiranga","Preço;Promoções e programas de descontos via aplicativo;Qualidade do combustível;Conhecimento da marca e/ou posto","Pagamento no carro, indicação do combustível mais vantajoso ","Combustível, caixa, calibrador de pneu","Não ","Não ","Não vejo necessidade","Débito","Sim, lavagem por fora","Não","","","","Masculino","27","Professor","Prefiro não responder","Ensino Superior Completo","Marília ","2222,22","","",""
"2023/05/12 2:56:25 PM GMT-3","Gas Natural(GNV)","120","Terrana ","Proximidade;Preço;Atendimento;Qualidade do combustível;","Diminuir o valor","COMBUSTÍVEL","Não","Nao","Sim","Débito","Não","Sim, motorista de aplicativo","Rj","Uber;99","Não ","Masculino","31","Autônomo","Parda","Ensino Médio Completo","Rj","5.000","","",""
"2023/05/13 12:20:32 AM GMT-3","Não consumo","0,00","Não consumo","Preço","Segurança e qualidade","Variedade","Não","Não","Não conheço esse sistema","Crédito","Prefiro não responder","Não","","","","Feminino","58","Autônoma","Branca","Ensino Superior Completo","Rio de Janeiro","+ou- R$1300,00","","Ainda não possuo veículo",""
"2023/05/13 5:41:39 AM GMT-3","Etanol","R$10,00","Petrobras ","Atendimento;Qualidade do combustível;Conhecimento da marca e/ou posto","Valores, e mais programas de fidelidade ","Bom atendimento é um local p encher os pneus ","Não ","Não ","Não vejo necessidade","Débito","Não","Não","","","","Feminino","37","Farmacêutica ","Parda","Ensino Superior Completo","Goiânia ","4,00.00","","",""
"2023/05/13 9:05:23 AM GMT-3","Gasolina","20,00 + ou _","Shell ","Qualidade do combustível","satisfeito ","Seriedade e bom atendimento ","não ","não ","Não vejo necessidade","Débito","Não","Não","","","","Feminino","49","cabeleireiro ","Parda","Ensino Médio Completo","R.J","3.000","","",""
"2023/05/13 9:13:47 AM GMT-3","Gasolina","300","Shell ","Preço","O preso do combustível ","Combustível barato","Não ","Não ","Não conheço esse sistema","Débito","Não","Não","","","","Feminino","37","Maqueiro ","Branca","Ensino Fundamental Completo","Duque de Caxias RJ ","1.300","","",""
"2023/05/13 9:17:19 AM GMT-3","Gasolina","120.00","Shel","Preço","Rapdrs","Drive tru","Nao","Muitas","Não vejo necessidade","Débito","Não","Não","","","","Masculino","51","Construtor","Branca","Ensino Médio Completo","Rj","3500.00","","Eu consumo sim",""
"2023/05/13 9:33:29 AM GMT-3","Gasolina","150;00","BR","Preço","Rapidez","Simpatia ","N","N","Não vejo necessidade","Pix","Prefiro não responder","Sim, motorista de aplicativo","Rio de janeiro","Uber","Sim","Feminino","45","Faxina","Parda","Ensino Fundamental Completo","Belford roxo","?","","N",""
"2023/05/13 9:34:32 AM GMT-3","Não consumo","Não Tenho Carro ","Nenhum ","Proximidade;","O Preço ","Lojas De Conveniência ","Não ","Não ","Não conheço esse sistema","Dinheiro","Não","Não","","","","Masculino","50","Assistente Administrativo ","Negra","Ensino Médio Completo","Rio de Janeiro ","950,00","","Nenhum ",""
"2023/05/13 9:40:12 AM GMT-3","Gas Natural(GNV)","300","Shel","Conhecimento da marca e/ou posto","Mas agilidade ","Bom atendimento ","Não ","Não uso","Não vejo necessidade","Débito","Não","Não","","","","Masculino","44","Segurança ","Parda","Ensino Médio Completo","Realengo ","2.800,00 ","","Muito caro",""
"2023/05/13 9:41:15 AM GMT-3","Gasolina","500 reais","Petrobras","Preço","O preço ","Atendimento","Não ","Não ","Não conheço esse sistema","Débito","Prefiro não responder","Não","","","","Masculino","Marcos","Vendedor","Parda","Ensino Médio Completo","Rio de Janeiro ","50000","","",""
"2023/05/13 9:42:27 AM GMT-3","Gas Natural(GNV)","R$100","Ipiranga, Petrobras","Proximidade;Preço;Conhecimento da marca e/ou posto","Velocidade no atendimento ","Banheiro ","Não ","Não ","Sim","Débito","Não","Sim, motorista de aplicativo","São Gonçalo, Niterói, Rio de Janeiro ","Uber;99","","Masculino","31","Motorista ","Branca","Ensino Médio Completo","São Gonçalo ","R$ 6.000","","",""
"2023/05/13 10:37:01 AM GMT-3","Gas Natural(GNV)","30","Shew","Proximidade;Preço","Preço","Calibrador ","Não ","Não uso ","Sim","Débito","Não","Não","","","","Masculino","42","Técnico em Segurança do Trabalho ","Parda","Ensino Médio Completo","São João de Meriti ","4.500","","",""
"2023/05/13 11:31:42 AM GMT-3","Gas Natural(GNV)","15,00","Shell","Preço;Atendimento;Promoções e programas de descontos via aplicativo;Qualidade do combustível;Simpatia em atendimentos ","Agilidade e qualidade de serviço ","Diversificação de mercadoria de automóveis, produtos.","Não, porinquanto.","?","Não vejo necessidade","Crédito","Prefiro não responder","Não","","","","Masculino","50","Vigilante ","Parda","Ensino Fundamental Completo","Rio de janeiro ","1800","","",""
"2023/05/13 12:05:32 PM GMT-3","Gasolina","20","Ypiranga","Proximidade","Tempo de atendimento ","Segurança ","Não ","Não ","Não conheço esse sistema","Dinheiro","Não","Não","","","","Masculino","32","Segurança ","Parda","Ensino Médio Completo","Rio de janeiro ","1.800","","",""
"2023/05/13 6:26:58 PM GMT-3","Gasolina","20,00","Shell","Preço","Nada! ","Troca de óleo, lava jato ","Sim! Ipiranga e Shell","Descontos na gasolina","Sim","Crédito","Não","Não","","","","Feminino","32","Pedagoga","Branca","Ensino Superior Completo","Rio de Janeiro ","5.000","","",""
"2023/05/13 6:31:18 PM GMT-3","Gasolina","30","Ipiranga","Preço;Programa de Fidelidade","Cashback","Preço baixo","Ipiranga","Desconto","Sim","Crédito","Não","Não","","","","Masculino","45","Militar","Parda","Pós-Graduação Completo","Rio de Janeiro ","200","","",""
"2023/05/13 6:56:13 PM GMT-3","Não consumo","0,00","Não uso ","Não uso ","Não sei ","Combustível ","Não ","Não uso ","Não vejo necessidade","Não uso ","Não uso ","Não","","","","Feminino","46","Servidora pública ","Branca","Pós-Graduação Completo","Rio de Janeiro ","","","Não tenho carro ",""
